2025-10-17_01-22-05 | Pieces: 18 | G2-0: 9 | G2-1: 1 | G2-2: 1 | G2-3: 7 | G2-4: 0
2025-10-17_01-23-55 | Pieces: 19 | G2-0: 10 | G2-1: 1 | G2-2: 1 | G2-3: 7 | G2-4: 0
2025-10-17_01-25-38 | Pieces: 20 | G2-0: 10 | G2-1: 1 | G2-2: 2 | G2-3: 7 | G2-4: 0
2025-10-17_01-26-53 | Pieces: 21 | G2-0: 11 | G2-1: 1 | G2-2: 2 | G2-3: 7 | G2-4: 0
2025-10-17_01-29-15 | Pieces: 22 | G2-0: 12 | G2-1: 1 | G2-2: 2 | G2-3: 7 | G2-4: 0
2025-10-17_01-39-56 | Pieces: 23 | G2-0: 13 | G2-1: 1 | G2-2: 2 | G2-3: 7 | G2-4: 0
2025-10-17_01-43-13 | Pieces: 24 | G2-0: 14 | G2-1: 1 | G2-2: 2 | G2-3: 7 | G2-4: 0
2025-10-17_01-46-14 | Pieces: 26 | G2-0: 16 | G2-1: 1 | G2-2: 2 | G2-3: 7 | G2-4: 0
2025-10-17_01-49-09 | Pieces: 28 | G2-0: 18 | G2-1: 1 | G2-2: 2 | G2-3: 7 | G2-4: 0
2025-10-17_01-50-58 | Pieces: 29 | G2-0: 19 | G2-1: 1 | G2-2: 2 | G2-3: 7 | G2-4: 0
2025-10-17_01-53-19 | Pieces: 30 | G2-0: 20 | G2-1: 1 | G2-2: 2 | G2-3: 7 | G2-4: 0
2025-10-17_01-55-35 | Pieces: 31 | G2-0: 21 | G2-1: 1 | G2-2: 2 | G2-3: 7 | G2-4: 0
2025-10-17_01-57-57 | Pieces: 32 | G2-0: 22 | G2-1: 1 | G2-2: 2 | G2-3: 7 | G2-4: 0
2025-10-17_01-59-59 | Pieces: 33 | G2-0: 23 | G2-1: 1 | G2-2: 2 | G2-3: 7 | G2-4: 0
2025-10-17_02-05-59 | Pieces: 35 | G2-0: 23 | G2-1: 1 | G2-2: 2 | G2-3: 9 | G2-4: 0
2025-10-17_02-14-51 | Pieces: 36 | G2-0: 23 | G2-1: 1 | G2-2: 3 | G2-3: 9 | G2-4: 0
2025-10-17_02-17-01 | Pieces: 37 | G2-0: 23 | G2-1: 1 | G2-2: 3 | G2-3: 10 | G2-4: 0
2025-10-17_02-20-07 | Pieces: 38 | G2-0: 23 | G2-1: 1 | G2-2: 4 | G2-3: 10 | G2-4: 0
2025-10-17_02-22-04 | Pieces: 39 | G2-0: 23 | G2-1: 1 | G2-2: 4 | G2-3: 11 | G2-4: 0
2025-10-17_02-24-42 | Pieces: 40 | G2-0: 23 | G2-1: 1 | G2-2: 4 | G2-3: 12 | G2-4: 0
2025-10-17_02-27-11 | Pieces: 41 | G2-0: 23 | G2-1: 2 | G2-2: 4 | G2-3: 12 | G2-4: 0
2025-10-17_02-29-35 | Pieces: 42 | G2-0: 24 | G2-1: 2 | G2-2: 4 | G2-3: 12 | G2-4: 0
2025-10-17_02-32-48 | Pieces: 43 | G2-0: 24 | G2-1: 2 | G2-2: 5 | G2-3: 12 | G2-4: 0
2025-10-17_02-34-56 | Pieces: 44 | G2-0: 24 | G2-1: 2 | G2-2: 6 | G2-3: 12 | G2-4: 0
